"G" "D" "r" "C" "L" "s" "b" "width_H" "center_H" "ss_H" "sss"
"373" 1000 32 1.53 20 10000 0.65 0.071 1.52960385555135 8.76946998544244 1.70962969296517 2.63019952763872
"374" 100 32 1.53 20 10000 0.7 0.071 1.09781727793463 4.2697465334584 3.31894356746001 4.7413479535143
"375" 200 32 1.53 20 10000 0.7 0.071 1.52412135030328 6.98679253644609 1.72195143091543 2.45993061559347
"376" 300 32 1.53 20 10000 0.7 0.071 1.15260763646942 6.21958323715765 3.01090467555364 4.30129239364805
"377" 400 32 1.53 20 10000 0.7 0.071 1.57441280010608 5.15507899260584 1.61369988267072 2.30528554667246
"378" 500 32 1.53 20 10000 0.7 0.071 1.2724299739045 5.52428720706493 2.47054181756985 3.52934545367121
"379" 600 32 1.53 20 10000 0.7 0.071 1.44629431574518 4.75230313096854 1.91225864363712 2.73179806233875
"380" 700 32 1.53 20 10000 0.7 0.071 1.58999091071617 4.4870864698785 1.58223398308526 2.26033426155038
"381" 800 32 1.53 20 10000 0.7 0.071 1.63381148329959 4.76654105633647 1.498497776792 2.14071110970286
"382" 900 32 1.53 20 10000 0.7 0.071 1.39044332153711 5.55963915862204 2.06896626948132 2.95566609925903
"383" 1000 32 1.53 20 10000 0.7 0.071 1.2411208624129 4.39232264431467 2.59676016042862 3.70965737204089
"384" 100 32 1.53 20 10000 0.75 0.071 1.22582877232586 4.51594288312562 2.66195291759765 3.54927055679687
"385" 200 32 1.53 20 10000 0.75 0.071 1.29349066611541 6.95149563026122 2.39074575312069 3.18766100416092
"386" 300 32 1.53 20 10000 0.75 0.071 1.11887707598273 8.27998682794558 3.19517934049972 4.26023912066629
"387" 400 32 1.53 20 10000 0.75 0.071 1.16089979558139 9.85905864390199 2.96804527796811 3.95739370395749
"388" 500 32 1.53 20 10000 0.75 0.071 1.30335876572304 10.862160665363 2.35468077004094 3.13957436005459
"389" 600 32 1.53 20 10000 0.75 0.071 1.18693673090756 9.92863899588201 2.83925795920537 3.78567727894049
"390" 700 32 1.53 20 10000 0.75 0.071 1.09054690337482 10.178082138129 3.36334403606429 4.48445871475239
"391" 800 32 1.53 20 10000 0.75 0.071 1.25025213676728 12.5590979229267 2.55896756019095 3.41195674692126
"392" 900 32 1.53 20 10000 0.75 0.071 1.1167249765653 13.1392918906785 3.20750640333676 4.27667520444902
"393" 1000 32 1.53 20 10000 0.75 0.071 0.97831575050889 13.7229574144993 4.17928415323632 5.57237887098176
"394" 100 32 1.53 20 10000 0.8 0.071 1.19009300247028 6.56162164006168 2.82421781413509 3.53027226766887
"395" 200 32 1.53 20 10000 0.8 0.071 1.21660383088282 6.82659965475871 2.7024746698644 3.3780933373305
"396" 300 32 1.53 20 10000 0.8 0.071 1.45708728927057 7.53776763499178 1.88403450309846 2.35504312887307
"397" 400 32 1.53 20 10000 0.8 0.071 1.02712401365101 7.46920933749849 3.79152763264822 4.73940954081028
"398" 500 32 1.53 20 10000 0.8 0.071 0.954499721023249 6.07667179300594 4.39044336943637 5.48805421179546
"399" 600 32 1.53 20 10000 0.8 0.071 0.806514936896632 6.29845518302397 6.14943423338719 7.68679279173398
"400" 700 32 1.53 20 10000 0.8 0.071 1.01819871538782 6.23174217253486 3.85829030600089 4.82286288250111
"401" 800 32 1.53 20 10000 0.8 0.071 0.989863449713972 7.53081258509357 4.08234227628976 5.10292784536221
"402" 900 32 1.53 20 10000 0.8 0.071 1.06154523341363 7.31814547315643 3.54962914968121 4.43703643710151
"403" 1000 32 1.53 20 10000 0.8 0.071 1.26269552297382 8.59439695282391 2.50878075815197 3.13597594768996
"404" 100 32 1.53 20 10000 0.85 0.071 1.05766321904112 3.51913111465372 3.57573386702576 4.20674572591266
"405" 200 32 1.53 20 10000 0.85 0.071 1.32831482654769 3.44664828860646 2.26703356842361 2.66709831579248
"406" 300 32 1.53 20 10000 0.85 0.071 1.16650351797235 4.66491191550299 2.93959760959558 3.45835012893597
"407" 400 32 1.53 20 10000 0.85 0.071 1.21748878092701 4.27116650211945 2.69854742889585 3.17476168105395
"408" 500 32 1.53 20 10000 0.85 0.071 1.2400249874696 3.44230788536842 2.60135197410991 3.06041408718812
"409" 600 32 1.53 20 10000 0.85 0.071 1.08579683164375 3.95652572212583 3.39283587211723 3.99157161425557
"410" 700 32 1.53 20 10000 0.85 0.071 1.06835431997088 3.40023226819751 3.50452667839328 4.12297256281562
"411" 800 32 1.53 20 10000 0.85 0.071 1.21915133659167 4.58845413406784 2.69119243354529 3.1661087453474
"412" 900 32 1.53 20 10000 0.85 0.071 0.817432234248021 3.54718134780733 5.9862723617437 7.04267336675729
"413" 1000 32 1.53 20 10000 0.85 0.071 1.50834331227506 2.59274574888765 1.7581648258294 2.06842920685812
"414" 100 32 1.53 20 10000 0.9 0.071 1.02583280594097 3.45819285169971 3.8010783717973 4.22342041310811
"415" 200 32 1.53 20 10000 0.9 0.071 1.3052416094781 4.00219447353233 2.3478922977209 2.60876921968989
"416" 300 32 1.53 20 10000 0.9 0.071 1.0749541185432 4.43397521660289 3.46162592991678 3.84625103324087
"417" 400 32 1.53 20 10000 0.9 0.071 1.03340300153022 4.12702974963873 3.74559273576558 4.1617697064062
"418" 500 32 1.53 20 10000 0.9 0.071 0.919031642571751 4.65944748671703 4.73586225509265 5.26206917232517
"419" 600 32 1.53 20 10000 0.9 0.071 1.05351285631696 4.99493448171031 3.6039629010905 4.00440322343389
"420" 700 32 1.53 20 10000 0.9 0.071 0.605898256394878 6.16092243978127 10.8958367051107 12.1064852279007
"421" 800 32 1.53 20 10000 0.9 0.071 1.05479302465707 5.68124274526431 3.59522018216812 3.99468909129791
"422" 900 32 1.53 20 10000 0.9 0.071 1.13588863416489 6.3035279879679 3.1001912301827 3.44465692242522
"423" 1000 32 1.53 20 10000 0.9 0.071 1.04447363801414 6.55407395751372 3.66661258853968 4.07401398726632
"304" 100 32 1.53 20 10000 0.65 0.083 1.67980137275034 6.90963720936588 1.41756874001341 2.18087498463602
"305" 200 32 1.53 20 10000 0.65 0.083 1.4851555166943 6.19654577606595 1.8134940113668 2.78999078671815
"306" 300 32 1.53 20 10000 0.65 0.083 1.37598303117221 5.15195092316949 2.11268055462862 3.25027777635172
"307" 400 32 1.53 20 10000 0.65 0.083 1.31055818801175 5.69402205939872 2.32888141467449 3.58289448411459
"308" 500 32 1.53 20 10000 0.65 0.083 2.04314463109809 7.43603564581573 0.958212362790961 1.47417286583225
"309" 600 32 1.53 20 10000 0.65 0.083 1.89846699829323 9.79957163449831 1.10982342503839 1.70742065390522
"310" 700 32 1.53 20 10000 0.65 0.083 3.04240898806448 10.0731353226301 0.432140331232725 0.664831278819577
"311" 800 32 1.53 20 10000 0.65 0.083 3.93144974677301 10.1284147458297 0.258794197029853 0.398144918507466
"312" 900 32 1.53 20 10000 0.65 0.083 5.46378921948215 10.5952316466084 0.133989916820594 0.206138333570145
"313" 1000 32 1.53 20 10000 0.65 0.083 6.16439959887836 13.0792610286786 0.105263649823208 0.16194407665109
"314" 100 32 1.53 20 10000 0.7 0.083 1.35464327240354 4.76393955069892 2.17976714521911 3.11395306459872
"315" 200 32 1.53 20 10000 0.7 0.083 1.44784677008877 6.75433153242159 1.9081600018377 2.72594285976815
"316" 300 32 1.53 20 10000 0.7 0.083 1.51322940001662 6.62837993926928 1.74682922987429 2.49547032839185
"317" 400 32 1.53 20 10000 0.7 0.083 1.28229381841393 8.91412647770539 2.4326794922907 3.47525641755815
"318" 500 32 1.53 20 10000 0.7 0.083 1.2995329546268 9.11658658426883 2.36856548815249 3.38366498307498
"319" 600 32 1.53 20 10000 0.7 0.083 1.46307043665928 9.37939454069923 1.8686566965542 2.669509566506
"320" 700 32 1.53 20 10000 0.7 0.083 1.33120582192549 8.60865194238886 2.25719757345105 3.22456796207293
"321" 800 32 1.53 20 10000 0.7 0.083 0.993828899607386 8.76861812791672 4.04982958229636 5.78547083185194
"322" 900 32 1.53 20 10000 0.7 0.083 1.12289905940672 7.70423139219201 3.17233143881272 4.53190205544674
"323" 1000 32 1.53 20 10000 0.7 0.083 1.30472363726553 7.005174584471 2.3497568831956 3.35679554742229
"324" 100 32 1.53 20 10000 0.75 0.083 1.32502117970929 3.98870318005819 2.27831804945591 3.03775739927454
"325" 200 32 1.53 20 10000 0.75 0.083 1.22225115297536 5.10734211580011 2.67755918996108 3.57007891994811
"326" 300 32 1.53 20 10000 0.75 0.083 1.26556156236517 4.91306036667769 2.49743066185325 3.32990754913767
